unit,avg,stdev,min,max,,1,2,3,4,5,6,7,8,9,10
probe	,0.661728,0.152612,0.338725,0.843324,,0.449418,0.761284,0.338725,0.660817,0.663936,0.693381,0.843324,0.612726,0.778248,0.815424,
zealot	,0.833747,0.166958,0.548866,1.000000,,0.990298,1.000000,0.998437,1.000000,0.680935,0.704284,0.693417,0.739310,0.548866,0.981928,
sentry	,0.918406,0.093279,0.737730,1.000000,,1.000000,1.000000,1.000000,0.877656,1.000000,0.821582,0.818690,0.737730,0.928399,1.000000,
stalker	,0.866087,0.149213,0.480880,1.000000,,0.840064,0.996643,0.833566,0.963469,1.000000,0.480880,0.839351,0.925196,0.784476,0.997223,
hightemplar	,0.539042,0.432835,0.000000,1.000000,,0.840440,0.142696,1.000000,1.000000,0.066110,1.000000,0.019282,0.955886,0.366008,0.000000,
darktemplar	,0.896959,0.152149,0.535879,1.000000,,1.000000,1.000000,1.000000,1.000000,1.000000,0.835896,0.883918,0.713902,0.535879,1.000000,
immortal	,0.567617,0.235849,0.215092,1.000000,,0.215092,0.388032,0.556301,1.000000,0.776409,0.337704,0.775231,0.755386,0.475893,0.396121,
colossus	,0.969411,0.091766,0.694113,1.000000,,1.000000,1.000000,1.000000,1.000000,0.694113,1.000000,1.000000,1.000000,1.000000,1.000000,
archon	,0.565225,0.313081,0.077114,1.000000,,0.691995,0.487791,0.908720,0.191933,0.316045,0.962737,1.000000,0.354907,0.661007,0.077114,
observer	,0.201152,0.244359,0.000000,0.780384,,0.000000,0.309326,0.780384,0.228814,0.000000,0.000000,0.394317,0.298679,0.000000,0.000000,
warpprism	,0.825292,0.213389,0.436789,1.000000,,1.000000,0.436789,0.986520,0.998549,1.000000,0.673434,0.530096,0.966020,1.000000,0.661509,
phoenix	,0.981043,0.045442,0.847377,1.000000,,1.000000,0.847377,0.969970,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.993080,
void ray	,0.982958,0.030399,0.905332,1.000000,,0.984372,1.000000,1.000000,1.000000,0.993726,1.000000,0.946153,0.905332,1.000000,1.000000,
carrier	,0.996167,0.009033,0.970152,1.000000,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.970152,0.991516,1.000000,
mothership	,0.648811,0.195214,0.215247,0.922147,,0.818537,0.215247,0.724998,0.506760,0.482223,0.582812,0.732139,0.922147,0.792932,0.710318,
photon cannon	,0.531703,0.290666,0.000000,1.000000,,0.559837,0.362774,0.883773,0.000000,0.817663,0.514908,0.395215,0.548808,0.234050,1.000000,
oracle	,0.901350,0.103701,0.703756,1.000000,,0.986464,0.936326,0.966692,1.000000,0.795214,0.703756,0.977486,0.883773,0.763784,1.000000,
tempest	,0.940748,0.074323,0.774489,1.000000,,0.976393,1.000000,1.000000,0.857304,0.883773,1.000000,0.985107,0.930411,1.000000,0.774489,
mothership core	,0.489050,0.349964,0.000000,1.000000,,0.000000,0.620417,0.951323,0.292605,0.374352,0.002749,0.633747,0.810712,0.204596,1.000000,
interceptor	,0.355889,0.174821,0.010834,0.654042,,0.109348,0.416883,0.010834,0.654042,0.396527,0.515488,0.369243,0.306314,0.367046,0.413160,
scv	,0.802990,0.157951,0.516099,1.000000,,0.516099,1.000000,0.603399,0.819245,0.822901,0.799652,1.000000,0.714377,0.754225,1.000000,
marine	,0.293031,0.178656,0.010889,0.660085,,0.350291,0.269769,0.010889,0.349125,0.217933,0.013733,0.305246,0.369228,0.660085,0.384010,
marauder	,0.261004,0.285052,0.000000,0.864439,,0.152690,0.013245,0.332371,0.069589,0.314304,0.864439,0.000000,0.081187,0.704486,0.077731,
reaper	,0.770134,0.255134,0.096329,0.989020,,0.614765,0.941171,0.775101,0.096329,0.989020,0.947983,0.726490,0.727296,0.914908,0.968275,
ghost	,0.159237,0.245610,0.000000,0.833566,,0.000000,0.063971,0.833566,0.030628,0.333176,0.058462,0.188128,0.084441,0.000000,0.000000,
hellion	,0.274042,0.220356,0.026260,0.690426,,0.383917,0.187132,0.069081,0.026260,0.276407,0.072740,0.192694,0.198514,0.690426,0.643247,
siegetank	,0.981584,0.048280,0.838120,1.000000,,1.000000,0.838120,1.000000,1.000000,0.977721,1.000000,1.000000,1.000000,1.000000,1.000000,
thor	,0.564710,0.445228,0.000000,1.000000,,0.964232,0.000000,0.992500,0.000000,1.000000,0.000000,1.000000,0.249928,0.440443,1.000000,
viking	,0.745350,0.209220,0.359242,1.000000,,1.000000,0.805880,0.359242,0.853566,0.588189,1.000000,0.580208,0.535658,0.962397,0.768365,
medivac	,0.804414,0.268077,0.269032,1.000000,,0.981811,1.000000,0.975053,0.643896,0.349132,0.902394,1.000000,1.000000,0.269032,0.922819,
banshee	,0.404069,0.329585,0.010514,1.000000,,0.711722,0.158121,0.028883,1.000000,0.010514,0.237089,0.833566,0.538069,0.329553,0.193176,
raven	,0.813540,0.198107,0.371548,1.000000,,0.871217,0.922893,0.950606,1.000000,0.663070,1.000000,0.600684,0.371548,0.970750,0.784631,
battlecruiser	,0.506062,0.355771,0.072085,0.988026,,0.512162,0.131443,0.072085,0.804407,0.988026,0.986724,0.382366,0.217094,0.105777,0.860537,
planetaryfortress	,0.802099,0.296994,0.000000,1.000000,,0.978666,0.843530,0.000000,1.000000,0.949883,1.000000,0.889584,0.799717,0.559606,1.000000,
missileturret	,0.657061,0.208269,0.372736,1.000000,,0.871217,1.000000,0.372736,0.441832,0.671529,0.571258,0.766271,0.404889,0.889956,0.580924,
widowmine	,0.802573,0.228199,0.180151,1.000000,,0.871217,0.959179,0.660666,0.751387,0.859991,0.920682,1.000000,0.883773,0.180151,0.938685,
drone	,0.475909,0.189488,0.243904,0.916288,,0.284127,0.645222,0.243904,0.421574,0.464980,0.383251,0.588305,0.329216,0.482223,0.916288,
zergling	,0.194604,0.070685,0.093498,0.316227,,0.130155,0.316227,0.162035,0.225198,0.261751,0.150562,0.093498,0.193695,0.284140,0.128783,
queen	,0.872799,0.255283,0.163120,1.000000,,0.686367,0.878506,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.163120,
baneling	,0.312197,0.132151,0.166344,0.593040,,0.478709,0.217734,0.166344,0.285392,0.417916,0.240303,0.593040,0.189754,0.294585,0.238191,
roach	,0.550981,0.168698,0.304239,0.863796,,0.387987,0.823365,0.524719,0.863796,0.517808,0.479953,0.535738,0.442335,0.629869,0.304239,
overlord	,0.453691,0.286907,0.000000,0.883773,,0.604938,0.000000,0.342137,0.509277,0.283084,0.675784,0.784855,0.883773,0.453059,0.000000,
overseer	,0.861969,0.299539,0.005267,1.000000,,0.691305,1.000000,1.000000,0.958334,1.000000,0.964781,1.000000,1.000000,1.000000,0.005267,
hydralisk	,0.577829,0.135174,0.419483,0.863475,,0.455971,0.863475,0.529089,0.718656,0.459869,0.419483,0.516893,0.493893,0.642316,0.678646,
spinecrawler	,0.257550,0.186687,0.000000,0.600000,,0.071666,0.600000,0.053063,0.000000,0.381866,0.280447,0.277627,0.443374,0.368828,0.098633,
sporecrawler	,0.402225,0.210842,0.114362,0.784908,,0.784908,0.256990,0.263887,0.114362,0.429495,0.680375,0.174816,0.397625,0.321146,0.598641,
mutalisk	,0.624451,0.123270,0.329419,0.760505,,0.716633,0.739006,0.526072,0.760505,0.329419,0.571272,0.663323,0.567867,0.675784,0.694627,
corruptor	,0.415063,0.153762,0.129654,0.615987,,0.129654,0.464876,0.457199,0.615987,0.573705,0.438178,0.334656,0.590848,0.214564,0.330959,
broodlord	,0.853827,0.220401,0.347479,1.000000,,1.000000,0.906756,1.000000,1.000000,1.000000,1.000000,1.000000,0.707785,0.347479,0.576253,
broodling	,0.111629,0.085449,0.000000,0.277975,,0.155427,0.277975,0.148352,0.099650,0.073426,0.118586,0.000000,0.000000,0.208937,0.033937,
infestor	,0.932057,0.117699,0.671834,1.000000,,1.000000,1.000000,0.671834,1.000000,0.975671,0.969372,1.000000,0.726205,0.977486,1.000000,
