These weights gave the best results for league 1
probe	,0.40511
zealot	,0.126169
sentry	,0.704161
stalker	,0.527304
hightemplar	,1
darktemplar	,0.984277
immortal	,0.956141
colossus	,1
archon	,0.956141
observer	,0.648698
warpprism	,0.742038
phoenix	,0.907545
void ray	,0.927596
carrier	,0.991705
mothership	,0.68746
photon cannon	,0.0427093
oracle	,0.455322
tempest	,0.901784
mothership core	,0.973156
interceptor	,0.297647
scv	,0.430659
marine	,0.192024
marauder	,0.438883
reaper	,0.983069
ghost	,0.432966
hellion	,0.616098
siegetank	,1
thor	,0.884524
viking	,0.54556
medivac	,0.543577
banshee	,1
raven	,0.971849
battlecruiser	,0.956141
planetaryfortress	,0.571813
missileturret	,0
widowmine	,0.691995
drone	,0.318308
zergling	,0.0610361
queen	,0.437197
baneling	,0.141081
roach	,0.198141
overlord	,0.45341
overseer	,0.924613
hydralisk	,0.17318
spinecrawler	,0.0972272
sporecrawler	,0.0169548
mutalisk	,0.394059
corruptor	,0.392008
broodlord	,0.793953
broodling	,0
infestor	,0.239125
infestedterran	,0.245125
ultralisk	,0.792986
nydusworm	,1
swarmhost	,0.76755
viper	,0.173861
